date,indicator,warn_type
2010-12-09,rsi14_top_div,TOP
2010-12-10,rsi14_top_div,TOP
2011-01-24,sma5_10_cross,TOP
2011-02-04,rsi14_top_div,TOP
2011-02-07,rsi14_top_div,TOP
2011-02-08,rsi14_top_div,TOP
2011-02-11,rsi14_top_div,TOP
2011-02-14,rsi14_top_div,TOP
2011-02-16,rsi14_top_div,TOP
2011-02-17,rsi14_top_div,TOP
2011-02-23,sma5_10_cross,TOP
2011-03-10,sma5_10_cross,TOP
2011-03-11,macd_wk_hist,TOP
2011-03-16,dd52w_cross_6,TOP
2011-04-12,sma5_10_cross,TOP
2011-04-26,rsi14_top_div,TOP
2011-05-05,sma5_10_cross,TOP
2011-05-17,sma5_10_cross,TOP
2011-06-08,dd52w_cross_6,TOP
2011-06-15,close_x_sma200,TOP
2011-06-21,close_x_sma200,BOTTOM
2011-07-14,sma5_10_cross,TOP
2011-07-29,sma5_10_cross,TOP
2011-08-02,close_x_sma200,TOP
2011-08-02,dd52w_cross_6,TOP
2011-08-12,wk10_40_cross,TOP
2011-08-19,rsi14_bot_div,BOTTOM
2011-08-26,sma200_slope_neg,TOP
2011-10-10,sma5_10_cross,BOTTOM
2011-10-21,macd_wk_hist,BOTTOM
2011-10-24,close_x_sma200,BOTTOM
2011-10-25,close_x_sma200,TOP
2011-10-27,close_x_sma200,BOTTOM
2011-10-31,close_x_sma200,TOP
2011-10-31,dd52w_cross_6,TOP
2011-11-03,close_x_sma200,BOTTOM
2011-11-04,close_x_sma200,TOP
2011-11-07,close_x_sma200,BOTTOM
2011-11-09,close_x_sma200,TOP
2011-11-09,dd52w_cross_6,TOP
2012-01-05,close_x_sma200,BOTTOM
2012-02-03,wk10_40_cross,BOTTOM
2012-02-24,rsi14_top_div,TOP
2012-02-27,rsi14_top_div,TOP
2012-03-01,rsi14_top_div,TOP
2012-03-06,sma5_10_cross,TOP
2012-03-13,rsi14_top_div,TOP
2012-03-14,rsi14_top_div,TOP
2012-04-05,sma5_10_cross,TOP
2012-05-04,macd_wk_hist,TOP
2012-05-09,dd52w_cross_6,TOP
2012-06-01,close_x_sma200,TOP
2012-06-01,rsi14_bot_div,BOTTOM
2012-06-04,close_x_sma200,BOTTOM
2012-07-09,dd52w_cross_6,TOP
2012-07-20,dd52w_cross_6,TOP
2012-08-01,dd52w_cross_6,TOP
2012-08-29,sma5_10_cross,TOP
