ym,core_cpi,cpi_yoy
2014-03,236.622,1.6443722776360303
2014-04,237.07,1.8201965365585382
2014-05,237.541,1.950677264845746
2014-06,237.833,1.9211484893936204
2014-07,238.232,1.8607833076791591
2014-08,238.405,1.73639560289498
2014-09,238.777,1.737111205794628
2014-10,239.188,1.8163552853938114
2014-11,239.412,1.7220501446726155
2014-12,239.572,1.6173295611196181
2015-01,239.845,1.636558565659385
2015-02,240.136,1.678437748759376
2015-03,240.749,1.7441319911081665
2015-04,241.346,1.8036866748217806
2015-05,241.644,1.7272807641628196
2015-06,242.039,1.7684677904243662
2015-07,242.543,1.809580576916625
2015-08,242.788,1.8384681529330482
2015-09,243.306,1.896748849344787
2015-10,243.765,1.9135575363312451
2015-11,244.272,2.029973434915533
2015-12,244.59,2.0945686474212355
2016-01,245.134,2.2051741749880005
2016-02,245.689,2.312439617550055
2016-03,246.004,2.1827712680011047
2016-04,246.487,2.1301368160234757
2016-05,247.031,2.2293125424177607
2016-06,247.436,2.229805940364993
2016-07,247.812,2.172398296384559
2016-08,248.4,2.311481621826439
2016-09,248.716,2.2235374384519835
2016-10,249.064,2.173814944721353
2016-11,249.519,2.148015327176278
2016-12,249.996,2.2102293634244985
2017-01,250.661,2.254685192588557
2017-02,251.088,2.197493579281118
2017-03,250.904,1.9918375310970626
2017-04,251.125,1.8816408167570797
2017-05,251.331,1.7406722233241911
2017-06,251.69,1.7192324479865517
2017-07,252.05,1.7101673849531096
2017-08,252.61,1.6948470209339872
2017-09,252.943,1.6995287798131198
2017-10,253.484,1.7746442681399133
2017-11,253.791,1.7120940689887343
2017-12,254.398,1.7608281732507614
2018-01,255.287,1.8455204439462136
2018-02,255.751,1.8571178232333008
2018-03,256.2,2.1107674648471075
2018-04,256.45,2.120457939273268
2018-05,256.889,2.2114263660272693
2018-06,257.305,2.2309189876435376
2018-07,257.93,2.3328704622098684
2018-08,258.141,2.1895411899766515
2018-09,258.441,2.1736122367489674
2018-10,258.939,2.1520095942939355
2018-11,259.481,2.2420022774645165
